text,intent_name,word_count,text_clean,is_high_risk
I am still waiting on my card?,card_arrival,7,i am still waiting on my card,0
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,13,what can i do if my card still hasnt arrived after NUM weeks,0
I have been waiting over a week. Is the card still coming?,card_arrival,12,i have been waiting over a week is the card still coming,0
Can I track my card while it is in the process of delivery?,card_arrival,13,can i track my card while it is in the process of delivery,0
"How do I know if I will get my card, or if it is lost?",card_arrival,15,how do i know if i will get my card or if it is lost,1
When did you send me my new card?,card_arrival,8,when did you send me my new card,0
Do you have info about the card on delivery?,card_arrival,9,do you have info about the card on delivery,0
What do I do if I still have not received my new card?,card_arrival,13,what do i do if i still have not received my new card,0
Does the package with my card have tracking?,card_arrival,8,does the package with my card have tracking,0
I ordered my card but it still isn't here,card_arrival,9,i ordered my card but it still isnt here,0
Why has my new card still not come?,card_arrival,8,why has my new card still not come,0
"I still haven't received my card after two weeks, is it lost?",card_arrival,12,i still havent received my card after two weeks is it lost,1
Can you track my card for me?,card_arrival,7,can you track my card for me,0
Is there a way to track the delivery of my card?,card_arrival,11,is there a way to track the delivery of my card,0
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,15,its been a week since i ordered my card and its not here please help,0
Will I be able to track the card that was sent to me?,card_arrival,13,will i be able to track the card that was sent to me,0
I don't have my card in 1 week.  Should I be worried?,card_arrival,12,i dont have my card in NUM week should i be worried,0
How do I know when my new card is going to arrive?,card_arrival,12,how do i know when my new card is going to arrive,0
My new card has not been delivered to my home yet. What is going on?,card_arrival,15,my new card has not been delivered to my home yet what is going on,0
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,20,its been a week since you issued me a card and i still didnt get it should i keep waiting,0
"On the card that is coming, what's the tracking info?",card_arrival,10,on the card that is coming whats the tracking info,0
What is the status of my card's delivery?,card_arrival,8,what is the status of my cards delivery,0
Have you sent out my card yet?,card_arrival,7,have you sent out my card yet,0
My card isn't here yet.,card_arrival,5,my card isnt here yet,0
where is my new card?,card_arrival,5,where is my new card,0
It's been a week since you sent my card and I still don't have it.,card_arrival,15,its been a week since you sent my card and i still dont have it,0
How do I track the card you sent me?,card_arrival,9,how do i track the card you sent me,0
When will I recieve my new card?,card_arrival,7,when will i recieve my new card,0
When will I get my new card?,card_arrival,7,when will i get my new card,0
What is the expected delivery date for my card?,card_arrival,9,what is the expected delivery date for my card,0
Is there a tracking number for the card you sent me?,card_arrival,11,is there a tracking number for the card you sent me,0
I would like to track the card you sent to me.,card_arrival,11,i would like to track the card you sent to me,0
Has my card been lost in delivery?,card_arrival,7,has my card been lost in delivery,1
My new card hasn't came in.,card_arrival,6,my new card hasnt came in,0
Where is the card I ordered 2 weeks ago?,card_arrival,9,where is the card i ordered NUM weeks ago,0
Can I get an update on my replacement card?,card_arrival,9,can i get an update on my replacement card,0
How long does it take for a new card to ship?,card_arrival,11,how long does it take for a new card to ship,0
What's the tracking on the card you sent?,card_arrival,8,whats the tracking on the card you sent,0
I haven't received my card and am worried it is lost.,card_arrival,11,i havent received my card and am worried it is lost,1
My card still hasn't been delivered,card_arrival,6,my card still hasnt been delivered,0
